Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Zinc (milligrams) (zinc),Copper (milligrams),Vitamin A (micrograms of RAE) (vita_rae),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin D (micrograms),Vitamin E (milligrams),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Niacin (milligrams),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Folate (micrograms) (folate),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Selenium (micrograms)
1125.03,Biltong,WA_FCT,07_009,,0.0,,,"Beef, meat, lean, boneless, raw",5.0,2.1,22,170.0,360,50,3.6,0.09,0,0,0,0.4,0.23,0.06,0.19,6.2,0.23,7,1.4,0,
1125.04,"Smoked meat, other than bacon & ham",WA_FCT,07_063,,0.0,,,"Sausage, wiener (beef, pork, chicken) canned",10.0,0.88,7,49.0,101,969,1.6,0.03,0,0,0,0.6,[0.22],0.09,0.11,1.6,0.12,4,1,0,
1125.06,"Sausages, other than polony",WA_FCT,07_063,,0.0,,,"Sausage, wiener (beef, pork, chicken) canned",10.0,0.88,7,49.0,101,969,1.6,0.03,0,0,0,0.6,[0.22],0.09,0.11,1.6,0.12,4,1,0,
1125.07,"Offals, meat waste",WA_FCT,07_021,,0.0,,,"Beef, tripe, raw",69.0,0.6,13,64.0,67,97,1.42,0.07,0,0,0,0,[0.09],0,0.06,0.9,0.01,5,1.4,0,
1125.08,Liver & kidneys,WA_FCT,07_001,,0.0,,,"Beef liver, raw",7.0,8.8,18,369.0,313,69,3.5,9.76,4970,4950,245,1.2,[0.38],0.19,1.56,13.2,1.08,290,59.3,1.3,
1126.01,Minced meat,WA_FCT,07_023,,0.0,,,"Beef,  ground, 10 % fat, raw",12.0,2.2,20,184.0,321,66,4.79,0.07,0,0,0,0.1,[0.32],0.04,0.16,5.1,0.37,6,2.2,0,
1126.02,Canned meat,WA_FCT,07_025,,0.0,,,"Beef, meat, cured, corned, canned",12.0,2.1,14,111.0,136,1010,3.57,0.06,0,0,0,0.2,[0.15],0.02,0.15,2.4,0.13,9,1.6,0,
1128.01,"Worms (omaungu, omanghandja, omaenghowa, murere, â€¦ etc.)",WA_FCT,07_056,,0.0,,,"Mopanie worm, canned",39.0,7,36,123.0,232,234,3.18,0.21,,,,,,0.13,1.13,2.7,,,,0,
1129.99,Other meat (specify),WA_FCT,07_027,,0.0,,,"Game meat, dried",15.0,9.9,67,586.0,923,2210,6.06,0.73,0,0,0,,0.58,0.64,1.39,18.5,1.07,12,18.3,0,
1131.01,Fresh fish,WA_FCT,09_041,,0.45,,,"Tilapia, raw",17.0,1.3,36,275.0,378,52,0.83,0.06,[26],[26],0,3.1,[0.40],0.04,0.06,3.5,0.24,24,1.6,Tr,
1131.02,Frozen fish,WA_FCT,09_003,,0.29,,,"Mackerel, raw",28.0,0.8,33,210.0,446,59,0.49,0.06,39,39,0,7.3,[0.69],0.14,0.14,5.3,0.4,1,2.4,Tr,
1133.02,Kapenta/ Eentangu (fresh),WA_FCT,09_004,,0.48,,,"Sardine, raw",71.0,1.8,35,281.0,499,77,1.57,0.07,[19],[18],[6],11,[0.73],0.02,0.21,9.4,0.96,4,11,Tr,
1134.01,Bottled/ Tinned fish,WA_FCT,09_037,,0.0,,,"Sardines in oil, canned (drained solids with bone)",382.0,2.9,39,490.0,397,505,1.31,0.19,32,32,0,12,[2.04],0.08,0.23,5.2,0.17,10,8.9,Tr,
1141.01,Fresh milk,WA_FCT,10_001,,0.0,,,"Milk, cow, whole, 3.5 % fat (includes pasteurised, sterilised and UHT)",120.0,0.05,11,92.0,153,45,0.39,0.01,33,31,18,0.1,0.09,0.04,0.18,0.1,0.05,10,0.6,1.5,
1141.02,Long life milk,WA_FCT,10_001,,0.0,,,"Milk, cow, whole, 3.5 % fat (includes pasteurised, sterilised and UHT)",120.0,0.05,11,92.0,153,45,0.39,0.01,33,31,18,0.1,0.09,0.04,0.18,0.1,0.05,10,0.6,1.5,
1141.99,Other dairy products (specify),WA_FCT,10_021,,0.0,,,"Yoghurt, whole milk, with fruits",118.0,0.1,12,88.0,152,41,0.47,0.01,28,27,14,0.1,0.08,0.04,0.16,0.1,0.04,23,0.2,0.7,
