3.5 Consumption statistics for each food item by region,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
region,,,,,
,,,,,
!Karas,,,,,
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",4.99,4.99,0.03,1.60,16.41
"01124.02  Birds, other than chicken",0.17,0.17,0.00,0.34,41.36
"01132.01  Cray fish, all types",0.01,0.01,0.00,0.01,85.02
01143.01  Condensed milk,0.11,0.11,0.00,0.35,5.88
01155.02  Omaze ongombe,0.01,0.01,0.00,0.11,2.39
01165.05  Plums,0.08,0.08,0.21,0.04,37.03
01168.17  Mixed nuts,0.17,0.17,0.02,1.03,22.59
01191.04  Chilli sauce,0.00,0.00,0.00,0.00,45.03
02122.99  Marunga (palm wine made traditional way),1.43,1.43,0.02,5.70,3.12
01168.04  Omauni,0.95,0.69,0.01,0.31,13.86
01168.09  Omahuku,0.13,0.13,0.00,0.76,6.59
01169.01  Tinned fruits,0.02,0.02,0.00,0.02,44.04
01127.02  Dog,0.83,0.83,0.02,1.07,15.19
01168.02  Oombe,0.25,0.23,0.01,0.11,72.21
01127.04  Tortoise,0.00,0.00,0.00,0.00,4.67
01168.14  Eenyandi,2.76,1.57,0.02,1.76,24.83
,,,,,
Omaheke,,,,,
01111.01  Rice,18.40,18.40,0.29,64.21,4.64
01111.02  Malt/ Mealie Rice,0.01,0.01,0.06,0.05,1301.75
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",133.07,133.07,2.59,331.21,7.44
01112.02  Brotchen,0.56,0.56,0.07,1.47,46.95
"01112.03  Biscuits, rusks",0.18,0.18,0.01,0.47,14.99
01112.04  Vetkoek,5.62,5.62,0.04,14.84,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",3.21,3.21,0.03,8.47,3.79
"01113.01  Macaroni, spaghetti, noodles",14.76,14.76,0.30,54.56,6.49
01114.01  Cakes (all types),0.45,0.45,0.03,1.52,22.78
01114.02  Pies & pizzas,0.02,0.02,0.00,0.10,11.95
01115.01  Breakfast cereals (all types),5.63,5.63,0.25,2.11,124.25
01115.03  Bread/ cake flour (all types),1.36,1.36,0.03,3.35,20.62
01115.04  Maize meal/ grain/ samp,122.18,122.18,1.85,420.91,3.44
01115.05  Mahangu meal/ grain/ samp,2.70,2.70,0.06,9.86,6.39
01121.01  Beef,69.27,69.27,2.83,163.20,26.08
01122.01  Pork,1.44,1.44,0.03,5.81,15.36
01123.01  Goat meat,8.88,6.57,0.28,11.60,22.96
01123.02  Mutton/ Lamb,13.55,10.16,0.92,33.54,33.52
01124.01  Chicken,22.71,22.71,0.81,30.59,25.92
01125.03  Biltong,0.61,0.61,0.08,0.77,137.89
"01125.04  Smoked meat, other than bacon & ham",0.12,0.12,0.01,0.28,44.57
01125.05  Polony,0.87,0.87,0.04,2.16,20.76
"01125.06  Sausages, other than polony",3.96,3.96,0.23,8.99,26.87
"01125.07  Offals, meat waste",10.56,10.56,0.19,8.62,20.40
01125.08  Liver & kidneys,0.98,0.98,0.04,1.30,37.65
01126.01  Minced meat,3.46,3.46,0.19,5.89,29.34
01126.02  Canned meat,0.57,0.57,0.03,1.39,23.34
01127.01  Game/ Iguana,6.11,6.11,0.26,6.94,43.97
01127.03  Donkey,3.10,3.10,0.06,3.98,15.26
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.02,0.02,0.00,0.02,88.28
01129.99  Other meat (specify),4.08,4.08,0.15,13.45,9.50
01131.01  Fresh fish,0.86,0.47,0.04,0.48,96.05
01131.02  Frozen fish,2.88,2.05,0.27,2.65,41.07
01133.03  Dried fish,1.24,1.24,0.12,4.59,27.61
01134.01  Bottled/ Tinned fish,1.94,1.94,0.09,4.31,22.53
01141.01  Fresh milk,13.76,13.76,0.24,8.87,31.01
01141.02  Long life milk,2.48,2.48,0.05,1.60,40.14
01143.02  Powdered milk,0.12,0.12,0.02,0.42,38.85
01143.03  Coffee creamer,0.06,0.06,0.00,0.22,9.45
01144.01  Clotted/ Cultured milk,1.70,1.70,0.05,1.30,35.40
01144.02  Yoghurt,0.19,0.19,0.01,0.14,45.89
01144.03  Traditional sour milk,111.91,111.91,1.25,53.27,29.91
"01145.01  Cheese, all types",0.66,0.66,0.05,2.43,22.22
01146.01  Cream,0.00,0.00,0.00,0.00,51.18
01147.01  Eggs,3.48,3.48,0.14,4.82,27.62
01151.01  Butter,0.84,0.84,0.13,6.04,33.96
01152.01  Margarine & margarine spreads,0.09,0.09,0.00,0.66,4.93
01152.02  Peanut butter,0.05,0.05,0.00,0.31,8.83
"01152.99  Spreads, other (specify)",0.00,0.00,0.00,0.03,12.50
01154.01  Cooking oil,4.31,4.31,0.22,38.79,5.50
01154.02  Olive oil,0.01,0.01,0.00,0.05,6.63
01155.01  Cooking fats,0.25,0.25,0.01,2.27,3.11
01155.03  Komazam & sheep tail fat,0.10,0.10,0.01,0.92,6.70
01159.99  Other oils & fats (specify),0.11,0.11,0.00,1.03,3.59
"01161.01  Citrus fruits (orange, lemon, etc.)",0.55,0.40,0.01,0.18,37.00
01162.01  Bananas,1.01,0.64,0.02,0.64,26.71
01163.01  Apples,0.71,0.63,0.01,0.34,37.01
01164.01  Pears,0.02,0.02,0.00,0.01,34.33
01165.06  Peaches,0.01,0.01,0.00,0.01,64.64
01166.04  Grapes/ Omandjebere (fresh),0.17,0.17,0.01,0.06,138.23
"01167.01  Sweet melons, all types",0.03,0.01,0.00,0.00,198.65
01167.02  Watermelons,0.47,0.22,0.01,0.06,237.76
01168.01  Eendunga/ Munganda,0.04,0.04,0.00,0.22,1.33
01168.08  Ground nuts/ Eefukwa,0.00,0.00,0.00,0.01,8.86
01168.10  Peanuts & other snack nuts,0.00,0.00,0.00,0.02,12.27
01169.08  Mixed fruits (fresh),0.09,0.09,0.00,0.07,71.47
01169.99  Other fruits & nuts (specify),0.61,0.61,0.01,3.73,3.34
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,0.46,0.33,0.01,0.09,99.11
01171.99  Chives/ Grass onion,0.03,0.03,0.00,0.01,36.16
01172.02  Cabbage,1.41,1.13,0.03,0.31,64.71
01173.02  Beans (fresh),0.46,0.38,0.01,0.15,74.21
01173.03  Cucumber,0.17,0.14,0.00,0.02,213.33
01173.04  Green pepper/ Paprika,0.18,0.15,0.00,0.04,94.90
01173.06  Mealie/ Corn cob,0.14,0.14,0.00,0.13,16.36
01173.07  Peas,0.08,0.08,0.00,0.06,36.81
"01173.08  Pumpkins baby marrows & squashes, all types",4.67,1.40,0.06,0.40,150.19
01173.09  Tomatoes,2.35,2.14,0.04,0.47,69.53
01174.02  Beetroot,1.21,1.03,0.02,0.45,89.63
01174.03  Carrots,2.41,2.14,0.03,0.77,34.59
01174.06  Onion,6.75,6.14,0.08,2.24,36.13
01174.09  Mushroom,0.03,0.03,0.00,0.01,103.65
01175.01  Beans (dried),1.38,1.38,0.04,4.63,9.53
01175.03  Lentils,0.09,0.07,0.00,0.02,105.82
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.43,0.43,0.01,0.04,294.85
"01177.01  Potatoes, English",12.66,10.63,0.15,8.47,14.72
01178.01  Sweet potatoes,0.63,0.53,0.01,0.60,12.56
01178.02  Chips & crisps,1.60,1.60,0.08,5.20,16.09
01178.05  Frozen vegetables,0.13,0.13,0.00,0.07,58.51
01179.08  Mixed vegetables,0.53,0.53,0.02,0.16,117.73
01179.99  Other vegetables & tubers (specify),0.51,0.51,0.01,1.44,4.79
01181.01  Sugar,22.42,22.42,0.66,89.67,7.39
01182.01  Honey,0.00,0.00,0.00,0.00,25.21
01182.02  Jam,0.06,0.06,0.00,0.15,12.70
01183.01  Chocolate,0.04,0.04,0.05,0.20,22.56
01184.01  Sweets,0.29,0.29,0.01,1.14,4.25
01185.01  Ice cream,0.17,0.17,0.00,0.26,17.19
01186.01  Syrup,0.01,0.01,0.00,0.03,23.53
01191.01  Mayonnaise,0.20,0.20,0.01,1.40,4.00
01191.02  Tomato Sauces,0.22,0.22,0.01,0.28,18.42
01191.03  Vinegar,0.02,0.02,0.00,0.00,303.03
01191.05  Chutney,0.01,0.01,0.00,0.04,5.89
01191.08  Salad dressings,0.05,0.05,0.00,0.20,11.79
01191.09  Soy sauce,0.00,0.00,0.00,0.00,96.17
01192.01  Salt,1.11,1.11,0.14,0.00,
01192.02  Spices & condiments,0.34,0.34,0.07,1.20,102.77
01192.03  Garlic,0.00,0.00,0.00,0.00,178.62
01193.01  Baking powder,0.00,0.00,0.00,0.01,46.82
01193.02  Yeast,0.02,0.02,0.01,0.06,127.02
"01193.05  Custards, puddings, jelly & gelatine",0.20,0.20,0.00,0.66,9.43
01193.06  Ready-made soup,0.08,0.08,0.00,0.05,68.98
01193.07  Powdered soup,1.03,1.03,0.13,2.78,60.58
01195.99  Other foods (specify),0.12,0.12,0.00,0.54,5.94
01211.01  Coffee,0.45,0.45,0.07,1.59,67.18
01212.01  Tea,25.82,25.82,0.19,0.21,440.40
01213.01  Chocolate drinks,0.03,0.03,0.00,0.12,7.59
01219.99  Other infusions (specify),0.05,0.05,0.01,0.00,25000.00
01221.01  Mineral water & ice cubes blocks,1.95,1.95,0.02,0.00,
01222.01  Soft drinks,16.14,16.14,0.23,6.66,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",0.29,0.29,0.00,0.12,39.65
01223.01  Fruit juice & squashes,5.26,5.26,0.10,2.30,45.43
01223.02  Mageu/Oshikundu,9.18,9.18,0.04,4.47,7.17
01223.99  Other powdered drinks (specify),0.07,0.07,0.01,0.03,213.50
02111.01  Brandies,0.02,0.02,0.00,0.08,36.66
02111.06  Whiskies,0.00,0.00,1.14,98.19,10.72
02121.01  Wines,0.33,0.33,0.02,0.12,130.35
02131.01  Beer/ Ales/ Ciders,2.54,2.54,0.05,0.95,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",0.62,0.62,0.00,0.20,16.41
"01124.02  Birds, other than chicken",0.09,0.09,0.00,0.19,19.42
01155.02  Omaze ongombe,0.03,0.03,0.00,0.23,2.39
01191.04  Chilli sauce,0.00,0.00,0.00,0.00,45.03
01169.01  Tinned fruits,0.04,0.04,0.00,0.03,44.04
01115.07  Cassava flour,0.02,0.02,0.00,0.06,5.97
01166.02  Mulberries,0.00,0.00,0.00,0.00,193.29
,,,,,
Omusati,,,,,
01111.01  Rice,19.20,19.20,0.24,67.00,2.97
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",110.77,110.77,2.04,275.71,7.44
01112.02  Brotchen,0.03,0.03,0.00,0.07,46.95
"01112.03  Biscuits, rusks",0.33,0.33,0.01,0.87,14.99
01112.04  Vetkoek,0.53,0.53,0.00,1.41,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",2.43,2.43,0.02,6.41,2.91
"01113.01  Macaroni, spaghetti, noodles",8.81,8.81,0.15,32.59,4.27
01114.01  Cakes (all types),0.10,0.10,0.01,0.35,22.78
01114.02  Pies & pizzas,0.01,0.01,0.00,0.04,11.95
01115.01  Breakfast cereals (all types),1.02,1.02,0.05,0.38,159.64
"01115.02  Baby foods, cereals",0.13,0.13,0.01,0.51,22.34
01115.03  Bread/ cake flour (all types),0.25,0.25,0.00,0.62,7.33
01115.04  Maize meal/ grain/ samp,124.72,124.72,1.57,429.66,3.36
01115.05  Mahangu meal/ grain/ samp,196.36,196.36,3.56,715.94,4.70
01115.06  Sorghum meal/ grain,1.34,1.34,0.09,4.61,21.68
01119.01  Other bread & cereals (specify),0.00,0.00,0.00,0.01,15.84
01121.01  Beef,100.09,100.09,2.48,235.81,26.25
01122.01  Pork,15.03,15.03,0.46,60.53,15.36
01123.01  Goat meat,15.73,11.64,0.50,20.56,22.96
01123.02  Mutton/ Lamb,0.13,0.10,0.01,0.31,33.52
01124.01  Chicken,17.15,17.15,0.61,23.10,25.92
01125.03  Biltong,0.03,0.03,0.01,0.04,137.89
"01125.04  Smoked meat, other than bacon & ham",0.00,0.00,0.00,0.01,44.57
01125.05  Polony,0.59,0.59,0.04,1.48,21.28
"01125.06  Sausages, other than polony",0.60,0.60,0.04,1.36,26.87
01125.08  Liver & kidneys,0.07,0.07,0.00,0.09,37.65
01126.01  Minced meat,0.09,0.09,0.00,0.15,29.34
01126.02  Canned meat,0.23,0.23,0.01,0.56,24.74
01127.01  Game/ Iguana,0.26,0.26,0.01,0.29,43.97
01127.03  Donkey,1.53,1.53,0.03,1.97,15.26
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.22,0.22,0.01,0.22,41.32
01129.99  Other meat (specify),0.34,0.34,0.01,1.12,9.50
01131.01  Fresh fish,11.91,6.55,0.45,6.60,32.24
01131.02  Frozen fish,6.26,4.44,0.43,5.75,41.07
01133.01  Smoked fish,0.03,0.03,0.06,0.04,1701.13
01133.02  Kapenta/ Eentangu (fresh),0.16,0.08,0.01,0.09,82.64
01133.03  Dried fish,8.09,8.09,0.61,29.98,16.73
01134.01  Bottled/ Tinned fish,3.54,3.54,0.18,7.85,22.53
01139.99  Other amphibians (specify),0.15,0.15,0.01,0.10,116.14
01141.01  Fresh milk,2.04,2.04,0.04,1.32,31.01
01141.02  Long life milk,0.01,0.01,0.00,0.00,40.14
01141.99  Other dairy products (specify),1.43,1.43,0.04,1.26,28.17
01143.02  Powdered milk,0.06,0.06,0.01,0.23,38.85
01143.03  Coffee creamer,0.02,0.02,0.00,0.06,9.45
01143.04  Baby milk powdered,0.03,0.03,0.00,0.18,7.94
01144.01  Clotted/ Cultured milk,3.08,3.08,0.08,2.34,36.66
01144.02  Yoghurt,0.30,0.30,0.01,0.22,45.89
01144.03  Traditional sour milk,3.12,3.12,0.04,1.49,20.20
"01145.01  Cheese, all types",0.01,0.01,0.00,0.03,27.18
01147.01  Eggs,0.98,0.98,0.04,1.35,27.62
01151.01  Butter,0.05,0.05,0.01,0.36,33.96
01152.01  Margarine & margarine spreads,0.02,0.02,0.00,0.11,4.93
01152.02  Peanut butter,0.01,0.01,0.00,0.06,8.83
01154.01  Cooking oil,7.41,7.41,0.46,66.71,5.50
01154.02  Olive oil,0.00,0.00,0.00,0.01,6.63
01155.01  Cooking fats,0.01,0.01,0.00,0.12,3.11
01159.99  Other oils & fats (specify),0.13,0.13,0.01,1.13,7.81
"01161.01  Citrus fruits (orange, lemon, etc.)",1.83,1.33,0.04,0.60,48.56
01162.01  Bananas,0.25,0.16,0.00,0.16,26.71
01163.01  Apples,1.41,1.27,0.03,0.67,37.01
01164.01  Pears,0.01,0.01,0.00,0.00,34.33
01165.04  Mangoes,1.09,0.78,0.07,0.60,157.62
01166.03  Figs,0.46,0.46,0.00,0.35,3.68
01166.04  Grapes/ Omandjebere (fresh),0.14,0.14,0.01,0.05,113.25
01166.05  Guavas,0.61,0.47,0.01,0.27,23.14
"01167.01  Sweet melons, all types",0.38,0.18,0.01,0.05,55.21
01167.02  Watermelons,24.41,11.23,0.68,3.20,228.51
01168.01  Eendunga/ Munganda,1.90,1.90,0.12,11.59,13.33
01168.03  Grapes/ Omandjebere (dry),0.02,0.01,0.00,0.01,106.83
01168.08  Ground nuts/ Eefukwa,2.75,2.75,0.06,15.91,3.46
01168.10  Peanuts & other snack nuts,0.10,0.10,0.01,0.57,8.31
01169.99  Other fruits & nuts (specify),0.67,0.67,0.01,4.11,1.62
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,22.77,16.40,0.95,4.56,207.95
01171.99  Chives/ Grass onion,0.01,0.01,0.00,0.00,36.16
01172.02  Cabbage,3.97,3.18,0.04,0.87,45.79
01173.02  Beans (fresh),9.17,7.61,0.64,3.01,196.67
01173.04  Green pepper/ Paprika,0.34,0.28,0.01,0.07,91.95
01173.05  Chilli,0.90,0.24,0.02,0.11,164.16
01173.06  Mealie/ Corn cob,0.04,0.04,0.00,0.04,16.36
01173.07  Peas,0.02,0.02,0.00,0.02,36.81
"01173.08  Pumpkins baby marrows & squashes, all types",10.74,3.22,0.14,0.92,150.19
01173.09  Tomatoes,10.62,9.67,0.16,2.11,69.53
01174.03  Carrots,0.79,0.70,0.01,0.25,52.43
01174.06  Onion,5.17,4.70,0.07,1.72,36.13
01174.09  Mushroom,0.07,0.07,0.01,0.03,273.53
01175.01  Beans (dried),8.13,8.13,0.25,27.29,9.05
"01175.09  Dried vegetables, other",0.01,0.01,0.00,0.02,12.65
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.03,0.03,0.00,0.00,294.85
"01177.01  Potatoes, English",5.91,4.97,0.08,3.96,21.36
01178.01  Sweet potatoes,0.82,0.69,0.01,0.79,16.48
01178.02  Chips & crisps,0.71,0.71,0.05,2.30,16.09
01179.08  Mixed vegetables,0.25,0.25,0.01,0.08,117.73
01179.99  Other vegetables & tubers (specify),0.76,0.76,0.01,2.15,4.79
01181.01  Sugar,5.36,5.36,0.17,21.44,7.39
01181.02  Sugar cane,0.02,0.02,0.00,0.01,47.30
01182.01  Honey,0.00,0.00,0.00,0.00,25.21
01182.02  Jam,0.14,0.14,0.01,0.40,12.70
01184.01  Sweets,0.43,0.43,0.01,1.70,4.25
01185.01  Ice cream,0.01,0.01,0.00,0.02,27.46
01191.01  Mayonnaise,0.07,0.07,0.00,0.49,4.00
01191.02  Tomato Sauces,0.55,0.55,0.01,0.70,18.42
01191.03  Vinegar,0.00,0.00,0.00,0.00,303.03
01191.05  Chutney,0.00,0.00,0.00,0.01,5.89
01191.08  Salad dressings,0.00,0.00,0.00,0.01,92.77
01192.01  Salt,1.84,1.84,0.20,0.00,
01192.02  Spices & condiments,0.05,0.05,0.01,0.18,102.77
01192.03  Garlic,0.01,0.01,0.00,0.01,88.78
01193.01  Baking powder,0.00,0.00,0.00,0.01,39.88
"01193.05  Custards, puddings, jelly & gelatine",0.00,0.00,0.00,0.01,18.62
01193.06  Ready-made soup,0.06,0.06,0.00,0.04,14.47
01193.07  Powdered soup,0.92,0.92,0.14,2.50,60.58
01194.01  Ready-made frozen food,0.03,0.03,0.00,0.08,6.45
01195.99  Other foods (specify),0.07,0.07,0.00,0.32,4.29
01211.01  Coffee,0.12,0.12,0.02,0.43,67.18
01212.01  Tea,8.39,8.39,0.04,0.07,312.50
01219.99  Other infusions (specify),0.50,0.50,0.03,0.00,9444.44
01222.01  Soft drinks,10.11,10.11,0.14,4.17,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",20.55,20.55,0.34,8.48,39.65
01223.01  Fruit juice & squashes,5.07,5.07,0.10,2.21,45.43
01223.02  Mageu/Oshikundu,160.68,160.68,0.57,78.25,7.17
01223.99  Other powdered drinks (specify),0.35,0.35,0.01,0.15,43.60
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.02,0.02,0.00,0.01,156.25
02111.06  Whiskies,0.31,0.31,0.78,86.29,8.18
02121.01  Wines,0.21,0.21,0.01,0.08,223.46
02129.99  Other alcoholic beverages (specify),4.72,4.72,0.11,18.88,5.83
02131.01  Beer/ Ales/ Ciders,0.82,0.82,0.02,0.30,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",9.96,9.96,0.05,3.19,16.41
"01124.02  Birds, other than chicken",0.36,0.36,0.02,0.74,19.42
"01132.01  Cray fish, all types",0.05,0.05,0.00,0.04,85.02
01155.02  Omaze ongombe,0.00,0.00,0.00,0.01,2.39
02122.99  Marunga (palm wine made traditional way),0.66,0.66,0.01,2.65,3.13
02111.05  Liqueurs,0.01,0.01,0.00,0.05,13.33
01168.09  Omahuku,0.39,0.39,0.01,2.25,6.59
01127.02  Dog,1.61,1.61,0.03,2.07,15.19
01168.02  Oombe,0.30,0.28,0.01,0.13,113.66
01168.14  Eenyandi,0.86,0.49,0.01,0.55,7.84
01166.02  Mulberries,0.00,0.00,0.00,0.00,164.91
01132.03  Frogs,0.07,0.07,0.40,0.05,16764.83
01168.11  Ekwa/ Mubuyu,0.08,0.06,0.00,0.17,2.30
,,,,,
Oshana,,,,,
01111.01  Rice,24.31,24.31,0.27,84.84,2.97
01111.02  Malt/ Mealie Rice,0.20,0.20,0.03,0.77,3.60
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",190.01,190.01,3.48,472.93,7.44
01112.02  Brotchen,0.10,0.10,0.01,0.25,46.95
"01112.03  Biscuits, rusks",0.52,0.52,0.02,1.38,14.99
01112.04  Vetkoek,1.88,1.88,0.01,4.97,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",3.62,3.62,0.03,9.57,2.91
"01113.01  Macaroni, spaghetti, noodles",14.09,14.09,0.25,52.11,4.27
01114.01  Cakes (all types),1.20,1.20,0.09,4.02,22.78
01114.02  Pies & pizzas,0.11,0.11,0.01,0.54,11.95
01115.01  Breakfast cereals (all types),3.09,3.09,0.11,1.16,124.25
"01115.02  Baby foods, cereals",0.04,0.04,0.00,0.14,22.34
01115.03  Bread/ cake flour (all types),1.47,1.47,0.02,3.64,5.08
01115.04  Maize meal/ grain/ samp,71.09,71.09,0.83,244.92,3.36
01115.05  Mahangu meal/ grain/ samp,117.78,117.78,2.04,429.43,4.70
01115.06  Sorghum meal/ grain,0.19,0.19,0.01,0.65,21.68
01119.01  Other bread & cereals (specify),1.32,1.32,0.05,1.50,15.84
01121.01  Beef,133.96,133.96,4.07,315.61,26.61
01122.01  Pork,6.83,6.83,0.19,27.51,17.60
01123.01  Goat meat,4.45,3.29,0.14,5.81,22.96
01123.02  Mutton/ Lamb,1.23,0.92,0.10,3.04,33.52
01124.01  Chicken,28.50,28.50,1.00,38.39,25.92
01125.03  Biltong,0.07,0.07,0.01,0.09,148.56
"01125.04  Smoked meat, other than bacon & ham",0.06,0.06,0.00,0.13,18.50
01125.05  Polony,1.19,1.19,0.07,2.96,20.76
"01125.06  Sausages, other than polony",2.43,2.43,0.15,5.51,28.10
"01125.07  Offals, meat waste",0.61,0.61,0.01,0.49,17.93
01125.08  Liver & kidneys,0.63,0.63,0.02,0.83,32.97
01126.01  Minced meat,0.28,0.28,0.02,0.47,34.76
01126.02  Canned meat,0.81,0.81,0.05,1.96,24.74
01127.01  Game/ Iguana,0.20,0.20,0.01,0.23,46.80
01127.03  Donkey,0.04,0.04,0.00,0.06,15.26
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.53,0.53,0.06,0.51,41.32
01129.99  Other meat (specify),1.05,1.05,0.04,3.48,9.50
01131.01  Fresh fish,6.69,3.68,0.33,3.70,90.11
01131.02  Frozen fish,14.73,10.45,1.42,13.53,159.53
01133.01  Smoked fish,0.02,0.02,0.04,0.02,2236.47
01133.02  Kapenta/ Eentangu (fresh),0.03,0.01,0.00,0.02,82.64
01133.03  Dried fish,3.20,3.20,0.24,11.85,9.16
01134.01  Bottled/ Tinned fish,3.36,3.36,0.16,7.45,22.53
01139.99  Other amphibians (specify),0.00,0.00,0.00,0.00,69.72
01141.01  Fresh milk,4.63,4.63,0.09,2.98,31.01
01141.02  Long life milk,0.00,0.00,0.00,0.00,40.14
01141.99  Other dairy products (specify),0.37,0.37,0.01,0.33,27.85
01142.01  Fresh milk - Low fat,0.00,0.00,0.00,0.00,58.61
01142.02  Long life - Low fat,0.02,0.02,0.00,0.01,85.52
01143.02  Powdered milk,0.07,0.07,0.01,0.25,45.07
01143.03  Coffee creamer,0.15,0.15,0.01,0.54,9.45
01143.04  Baby milk powdered,0.33,0.33,0.01,1.71,7.94
01144.01  Clotted/ Cultured milk,9.30,9.30,0.25,7.07,36.66
01144.02  Yoghurt,1.08,1.08,0.04,0.78,45.89
01144.03  Traditional sour milk,1.92,1.92,0.03,0.92,42.02
"01145.01  Cheese, all types",0.06,0.06,0.01,0.23,27.18
01146.01  Cream,0.02,0.02,0.00,0.02,51.18
01147.01  Eggs,3.35,3.35,0.13,4.64,27.62
01151.01  Butter,0.34,0.34,0.07,2.44,33.96
01152.01  Margarine & margarine spreads,0.04,0.04,0.00,0.31,4.93
01152.02  Peanut butter,0.05,0.05,0.00,0.29,8.83
"01152.99  Spreads, other (specify)",0.00,0.00,0.00,0.02,12.50
01154.01  Cooking oil,7.64,7.64,0.43,68.76,5.50
01154.02  Olive oil,0.01,0.01,0.00,0.08,6.63
01155.01  Cooking fats,0.02,0.02,0.00,0.19,3.11
01159.99  Other oils & fats (specify),0.14,0.14,0.01,1.22,7.81
"01161.01  Citrus fruits (orange, lemon, etc.)",3.29,2.40,0.06,1.08,37.00
01162.01  Bananas,1.27,0.82,0.02,0.81,26.71
01163.01  Apples,2.92,2.63,0.06,1.39,37.01
01164.01  Pears,0.07,0.07,0.00,0.04,34.33
01165.01  Apricots,0.13,0.13,0.00,0.06,56.49
01165.02  Avocados,0.07,0.05,0.00,0.09,24.24
01165.04  Mangoes,0.82,0.58,0.04,0.45,48.90
01166.04  Grapes/ Omandjebere (fresh),0.93,0.93,0.03,0.31,113.25
01166.05  Guavas,0.58,0.46,0.01,0.26,23.14
"01167.01  Sweet melons, all types",0.10,0.05,0.00,0.01,298.37
01167.02  Watermelons,5.87,2.70,0.10,0.77,194.47
01167.03  Pineapples,0.18,0.09,0.00,0.05,45.01
01168.01  Eendunga/ Munganda,1.25,1.25,0.09,7.60,13.33
01168.03  Grapes/ Omandjebere (dry),0.02,0.02,0.00,0.01,106.83
01168.08  Ground nuts/ Eefukwa,6.37,6.37,0.13,36.81,3.46
01168.10  Peanuts & other snack nuts,0.38,0.38,0.02,2.21,12.27
01169.08  Mixed fruits (fresh),0.01,0.01,0.00,0.01,71.47
01169.99  Other fruits & nuts (specify),1.26,1.26,0.02,7.76,1.62
01171.01  Lettuce,0.16,0.11,0.01,0.02,217.32
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,14.66,10.56,0.65,2.94,230.64
01172.01  Broccoli,0.00,0.00,0.00,0.00,96.66
01172.02  Cabbage,5.23,4.18,0.06,1.14,45.79
01172.03  Cauliflower,0.00,0.00,0.00,0.00,139.92
01173.02  Beans (fresh),2.19,1.82,0.14,0.72,196.67
01173.03  Cucumber,0.03,0.02,0.00,0.00,213.33
01173.04  Green pepper/ Paprika,0.62,0.51,0.02,0.13,91.95
01173.05  Chilli,0.62,0.17,0.02,0.08,164.16
01173.06  Mealie/ Corn cob,2.20,2.20,0.03,2.08,16.36
01173.07  Peas,0.04,0.04,0.00,0.03,36.81
"01173.08  Pumpkins baby marrows & squashes, all types",2.78,0.83,0.03,0.24,150.19
01173.09  Tomatoes,9.22,8.39,0.15,1.83,69.53
01174.02  Beetroot,0.10,0.09,0.00,0.04,41.76
01174.03  Carrots,2.42,2.15,0.03,0.77,52.43
01174.06  Onion,7.50,6.83,0.09,2.49,36.13
01174.09  Mushroom,0.29,0.29,0.02,0.10,273.53
01175.01  Beans (dried),2.63,2.63,0.07,8.82,9.05
"01175.09  Dried vegetables, other",0.44,0.44,0.04,1.25,29.10
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.89,0.89,0.02,0.09,294.85
"01177.01  Potatoes, English",15.36,12.91,0.20,10.29,21.36
01178.01  Sweet potatoes,0.72,0.60,0.01,0.69,16.48
01178.02  Chips & crisps,1.75,1.75,0.13,5.70,16.09
01178.05  Frozen vegetables,0.09,0.09,0.00,0.05,58.51
01179.08  Mixed vegetables,0.53,0.53,0.02,0.16,114.89
01179.99  Other vegetables & tubers (specify),1.17,1.17,0.02,3.31,4.79
01181.01  Sugar,7.71,7.71,0.24,30.84,7.39
01181.02  Sugar cane,0.00,0.00,0.00,0.00,47.30
01182.01  Honey,0.00,0.00,0.00,0.00,25.21
