hhid,Total,start_date,urbrur,region,sex_of_head,age_of_head_cat,attain,apci_dec,main_language,wgt_hh,q02_58_01,q02_58_02,q02_58_04,q02_58_13,q02_58_15,q02_59_01,q02_59_02,q02_59_04,q02_59_13,q02_59_15,q02_60_01,q02_60_02,q02_60_04,q02_60_13,q02_60_15,q07_02_1,q07_02_2,q07_02_3,q07_02_4,q07_02_6,crops_possessed_1,crops_possessed_2,crops_possessed_3,crops_possessed_4,crops_possessed_6,q07_04_1,q07_04_2,q07_04_3,q07_04_4,q07_04_6,crops_given_away_1,crops_given_away_2,crops_given_away_3,crops_given_away_4,crops_given_away_6,crops_sold_1,crops_sold_2,crops_sold_3,crops_sold_4,crops_sold_6,q07_08_3
1108077A03601                          ,Total,2015-04-29,Rural,Oshana,Male,60+,No formal education,2,Oshiwambo,38.847101748196295,1,0,1,1,0,7.0,,5.0,7.0,,bought_using_cash,,gifts_friends__neighbours__relatives,bought_using_cash,,0,1,0,0,0.0,,1600.0,,,,,600.0,,,,,0.0,,,,,0.0,,,,0
0206082A00201                          ,Total,2015-04-29,Urban,Erongo,Male,18-59,Secondary,10,Nama/Damara,94.1925826649063,1,1,1,0,0,7.0,2.0,1.0,,,bought_using_cash,bought_using_cash,bought_using_cash,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0206082A00704                          ,Total,2015-04-29,Urban,Erongo,Female,18-59,,8,Other,88.7299873843933,1,1,1,1,1,3.0,7.0,1.0,7.0,7.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0206082A01002                          ,Total,2015-04-29,Urban,Erongo,Female,18-59,Secondary,7,Oshiwambo,67.43502104635411,1,0,1,1,1,7.0,,3.0,7.0,1.0,bought_using_cash,,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0206082A01401                          ,Total,2015-04-29,Urban,Erongo,Female,18-59,,9,Oshiwambo,94.9852453737146,1,0,1,1,1,7.0,,3.0,7.0,3.0,bought_using_cash,,bought_using_cash,bought_using_cash,bought_using_cash,0,1,0,0,0.0,,10.0,,,,,10.0,,,,,0.0,,,,,0.0,,,,0
0206082A01602                          ,Total,2015-04-29,Urban,Erongo,Female,18-59,Secondary,8,Nama/Damara,82.102496058916,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0206082B00202                          ,Total,2015-04-29,Urban,Erongo,Female,18-59,Secondary,9,Oshiwambo,118.689033334846,1,1,1,1,1,3.0,7.0,2.0,7.0,2.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0206082B00501                          ,Total,2015-04-29,Urban,Erongo,Male,18-59,Secondary,7,Oshiwambo,133.340529039312,1,0,1,1,0,7.0,,1.0,7.0,,bought_using_cash,,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1108045B07301                          ,Total,2015-04-29,Urban,Oshana,Male,18-59,Secondary,7,Oshiwambo,88.50472283413521,1,0,0,1,1,4.0,,,7.0,7.0,bought_using_cash,,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0206082B00701                          ,Total,2015-04-29,Urban,Erongo,Female,18-59,Primary,7,Oshiwambo,107.744932933571,1,0,0,1,1,7.0,,,7.0,3.0,bought_using_cash,,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
