index,hh_wheat_rice_both,hh_wheat_rice_both,hh_wheat_rice_at_least_one,hh_wheat_rice_neither,hh_source_wheat_rice_not_loc_both,hh_source_wheat_rice_not_loc_at_least_one,hh_source_wheat_rice_not_loc_neither,hh_oil_yn,hh_source_oil_not_loc_yn,hh_maize_prod_cons_yn,hh_mahangu_prod_cons_yn,hh_sorghum_prod_cons_yn,maize_gap,mahangu_gap,sorghum_gap,hh_wheat_other_both,hh_wheat_other_at_least_one,hh_wheat_other_neither
,group_wa9,count,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9
Khoisan,0.12552338782611686,146,0.19654120040771988,0.6779354117661631,0.12552338782611686,0.14909059775768652,0.7253860144161965,0.6055713386634991,0.565563038096497,0.01633489434706027,0.0215710946517641,0.0017727068805876412,0.0,3.264126702705285,0.0,0.25152186624845385,0.7083834968992624,0.04009463685228368
Nama/Damara,0.5781101987502629,1292,0.2946994279181813,0.12719037333155572,0.5117833857580855,0.30560729336369735,0.1826093208782172,0.7876737068786311,0.7600225907229673,0.006348927589406385,0.0,0.0,6.833323499409601,0.0,0.0,0.6986022703408686,0.2743819851661191,0.027015744493012205
Oshiwambo,0.41506799602018524,4610,0.3266664246003205,0.2582655793794941,0.3928451699569525,0.3177679303839409,0.2893868996591065,0.8485272177717544,0.8092099103089894,0.05382701723311494,0.3605354338299654,0.11247677185344646,17.926461818724324,135.37243123933322,15.95209462050069,0.536896611358959,0.4077833694141519,0.055320019226888915
Other,0.6472791013548546,165,0.20914701329179727,0.14357388535334822,0.6103748833159044,0.21843724814092186,0.1711878685431739,0.7205470045772954,0.7145843472068759,0.01380558681461371,0.02120432146473169,0.012501386003528759,28.646604408126066,23.94951216510686,5.9864547818527765,0.4701296450789794,0.3966092250388657,0.133261129882155
Other African,0.6076670460040275,108,0.20209721396400898,0.19023574003196336,0.5662452984739429,0.2435189614940937,0.19023574003196336,0.8520969256607354,0.82699769009938,0.015740776616356134,0.010183805021349305,0.0,14.580678047623413,38.96555687071168,0.0,0.624630818491257,0.3392215805520911,0.036147600956651794
Other European,0.6999580452181668,35,0.2655591405515495,0.03448281423028367,0.6999580452181668,0.2655591405515495,0.03448281423028367,0.8913193203383378,0.8913193203383378,0.0,0.0,0.0,0.0,0.0,0.0,0.5910238060811458,0.40897619391885426,0.0
Otjiherero,0.4354953847423669,1000,0.29680844416177476,0.2676961710958584,0.40283327260613133,0.30834173855978725,0.2888249888340814,0.8159905245959885,0.7867162938330788,0.021276164968486902,0.015191231871870348,0.0031959575271764467,106.61353991551161,178.96576638441258,10.389741852245068,0.5744061535020393,0.3750002031449876,0.05059364335297314
Rukavango,0.24607333967156295,1272,0.2972814118639194,0.4566452484645176,0.23533552800546367,0.2746600668661036,0.49000440512843274,0.7110130962681995,0.6731813857660487,0.1813003090832973,0.25372884435717036,0.031147548886288706,13.205156614437517,19.215096835072096,5.738323250201678,0.4342561755105646,0.5113799127092548,0.05436391178018055
Setswana,0.5819482218162031,31,0.23962832315390994,0.17842345502988705,0.5819482218162031,0.18284841885166472,0.23520335933213227,0.598967051650822,0.598967051650822,0.0,0.0,0.0,0.0,0.0,0.0,0.6284863932632317,0.3715136067367683,0.0
Zambezi languages,0.5009710841535643,572,0.3023068429774555,0.1967220728689803,0.48582391129867963,0.29083881911253573,0.2233372695887847,0.8967034640942074,0.8826119266454261,0.22944480009947665,0.028619812740272664,0.01365580222998434,278.2707592688621,0.6639866766340667,11.00253832834425,0.7076312894291009,0.28747484780295424,0.004893862767944893
